ID,Category,Question,Option A,Option B,Option C,Option D,Answer
1,詞彙填空（文脈判斷）,急な雨で、せっかくセットした髪が____になってしまった。,びっしょり,がっしり,こっそり,あっさり,A
2,類義詞選擇,このプロジェクトは、彼の尽力によって____成功を収めた。,かろうじて,かたわら,めでたく,ひそかに,C
3,反義詞選擇,彼はいつも____としていて、滅多に感情を表に出さない。,陰気,冷静,陽気,平穏,C
4,熟語・慣用語填空,彼女は、子供の頃から絵を描くのが____だった。,二の舞,お手の物,鬼の目にも涙,焼け石に水,B
5,外來語應用,プレゼンテーションの資料は、____にまとめてください。,コンパクト,コンプレックス,コンタクト,コンテンツ,A
6,動詞活用填空,田中さんは、いつも忙しそうに____いる。,して,され,すれ,させ,A
7,漢字讀音測驗,この書類は、至急『回覧』してください。,かいらん,かいかん,きらん,きかん,A
8,日文同音異義詞測驗,新しいプロジェクトの『構想』を練る。,高層,考証,構造,構想,D
9,詞彙填空（文脈判斷）,彼は、その問題に対して____な姿勢で臨んだ。,真摯,謙虚,慎重,誠実,A
10,類義詞選擇,この企画は、上司に____された。,却下,許可,承諾,黙認,A
