ID,Category,Question,Option A,Option B,Option C,Option D,Answer
1,文脈判断,田中さんは、いつも時間に__________人です。遅刻したことは一度もありません。,だらしない,きちょうめん,いいかげん,ずうずうしい,B
2,類義語選択,この問題は、非常に__________だ。誰にも解けないだろう。,簡単,容易,難解,平易,C
3,反義語選択,彼はいつも__________な態度で人に接する。,謙虚,横柄,親切,丁寧,B
4,熟語・慣用語,彼は__________が早いので、すぐに仕事を覚えてしまった。,頭,目,耳,鼻,C
5,外来語,今回のプロジェクトの__________は、新しい技術の導入です。,テーマ,ゴール,ポイント,スケジュール,C
6,動詞活用,山田さんは、毎日一生懸命__________いる。,勉強し,勉強して,勉強する,勉強している,D
7,漢字読音,この書類の『捺印』をお願いします。,なついん,あついん,なつじるし,あつじるし,A
8,同音異義語,会議の『議事録』を__________する。,記述,記載,記事,起訴,B
9,文脈判断,最近、彼は仕事が忙しくて、__________気味だ。,のんびり,疲労,幸福,満足,B
10,熟語・慣用語,彼は困ったことがあっても、決して__________をあげない。,白旗,赤旗,黒旗,黄旗,A
